[root@openshift openshift]#
[root@openshift openshift]# oc get clusterserviceclass
NAME                                   EXTERNAL-NAME                                       BROKER                    AGE
05019a26-c2a4-11e9-a3dc-000c29aa8fab   registry-console                                    template-service-broker   33m
08ccf37be271fba38b1a70f87302297f       dh-rhpam-apb                                        ansible-service-broker    3m
09628db4757fd1a2db85d465106b9f82       dh-gluster-s3-apb                                   ansible-service-broker    3m
0e991006d21029e47abe71acc255e807       dh-pyzip-demo-apb                                   ansible-service-broker    3m
135bd0df0401e2fdd52fd136935014fb       dh-nginx-apb                                        ansible-service-broker    3m
1830d9181b425e281b36efbf22f378a4       dh-proxy-config-apb                                 ansible-service-broker    3m
1882ffca5d72b1084e9107e3485f5066       dh-eclipse-che-apb                                  ansible-service-broker    3m
192097962f2955b0582b5d53ddb942e4       dh-galera-apb                                       ansible-service-broker    3m
1dd62d51c52cc2ac404d58abc0c8fa94       dh-vnc-desktop-apb                                  ansible-service-broker    3m
1dda1477cace09730bd8ed7a6505607e       dh-postgresql-apb                                   ansible-service-broker    3m
2c79572fbf83125231198451c26e7cf9       dh-mssql-remote-apb                                 ansible-service-broker    3m
5d0062cce443e5ecb8438ca5f664dcd7       dh-kibana-apb                                       ansible-service-broker    3m
60836f0ce3bd7d325587211dd7791f5b       dh-import-vm-apb                                    ansible-service-broker    3m
67042296c7c95e84142f21f58da2ebfe       dh-mariadb-apb                                      ansible-service-broker    3m
693cb128e68365830c913631300deac0       dh-pyzip-demo-db-apb                                ansible-service-broker    3m
6df7afbd132c094704b4a8bfd44378c0       dh-manageiq-apb                                     ansible-service-broker    3m
880ef3b4ba5fa8d80908e9974228e603       dh-awx-apb                                          ansible-service-broker    3m
8b00d445-c2a3-11e9-a3dc-000c29aa8fab   mariadb-ephemeral                                   template-service-broker   33m
8b01ed28-c2a3-11e9-a3dc-000c29aa8fab   mariadb-persistent                                  template-service-broker   33m
8b02f516-c2a3-11e9-a3dc-000c29aa8fab   mongodb-ephemeral                                   template-service-broker   33m
8b03f5ba-c2a3-11e9-a3dc-000c29aa8fab   mongodb-persistent                                  template-service-broker   33m
8b051d1f-c2a3-11e9-a3dc-000c29aa8fab   mysql-ephemeral                                     template-service-broker   33m
8b061c95-c2a3-11e9-a3dc-000c29aa8fab   mysql-persistent                                    template-service-broker   33m
8b072745-c2a3-11e9-a3dc-000c29aa8fab   postgresql-ephemeral                                template-service-broker   33m
8b0833c7-c2a3-11e9-a3dc-000c29aa8fab   postgresql-persistent                               template-service-broker   33m
8b092dd4-c2a3-11e9-a3dc-000c29aa8fab   redis-ephemeral                                     template-service-broker   33m
8b0acc6b-c2a3-11e9-a3dc-000c29aa8fab   redis-persistent                                    template-service-broker   33m
8e015923-c2a3-11e9-a3dc-000c29aa8fab   system                                              template-service-broker   33m
8e02ed44-c2a3-11e9-a3dc-000c29aa8fab   3scale-gateway                                      template-service-broker   33m
8e040bf1-c2a3-11e9-a3dc-000c29aa8fab   cakephp-mysql-persistent                            template-service-broker   33m
8e05d17c-c2a3-11e9-a3dc-000c29aa8fab   cakephp-mysql-example                               template-service-broker   33m
8e06e343-c2a3-11e9-a3dc-000c29aa8fab   dancer-mysql-persistent                             template-service-broker   33m
8e07f162-c2a3-11e9-a3dc-000c29aa8fab   dancer-mysql-example                                template-service-broker   33m
8e090c4d-c2a3-11e9-a3dc-000c29aa8fab   django-psql-persistent                              template-service-broker   33m
8e0a23eb-c2a3-11e9-a3dc-000c29aa8fab   django-psql-example                                 template-service-broker   33m
8e0b0ebf-c2a3-11e9-a3dc-000c29aa8fab   dotnet-example                                      template-service-broker   33m
8e0c1c45-c2a3-11e9-a3dc-000c29aa8fab   dotnet-pgsql-persistent                             template-service-broker   33m
8e0d27b9-c2a3-11e9-a3dc-000c29aa8fab   dotnet-runtime-example                              template-service-broker   33m
8e0f0cee-c2a3-11e9-a3dc-000c29aa8fab   httpd-example                                       template-service-broker   33m
8e0ff835-c2a3-11e9-a3dc-000c29aa8fab   jenkins-ephemeral                                   template-service-broker   33m
8e110b05-c2a3-11e9-a3dc-000c29aa8fab   jenkins-persistent                                  template-service-broker   33m
8e121323-c2a3-11e9-a3dc-000c29aa8fab   nginx-example                                       template-service-broker   32m
8e1348b3-c2a3-11e9-a3dc-000c29aa8fab   nodejs-mongo-persistent                             template-service-broker   33m
8e146792-c2a3-11e9-a3dc-000c29aa8fab   nodejs-mongodb-example                              template-service-broker   33m
8e15530b-c2a3-11e9-a3dc-000c29aa8fab   amp-pvc                                             template-service-broker   33m
8e165750-c2a3-11e9-a3dc-000c29aa8fab   rails-pgsql-persistent                              template-service-broker   33m
8e19156e-c2a3-11e9-a3dc-000c29aa8fab   rails-postgresql-example                            template-service-broker   33m
